40N||1||1||10	Книга родоводу Ісуса Христа, сина Давидового, сина Авраамового.
43N||5||44||31160	Як ви можете вірувати, славу один од одного приймаючи, а славу що від одного Бога, не шукаєте?
43N||5||45||31170	Не думайте, що я обвинувачу вас перед Отцем: є хто винуватить вас: Мойсей, що на него вповаєте.
43N||5||46||31180	Коли б ви вірували Мойсейові, вірували б менї; бо про мене той писав.
43N||5||47||31190	Коли ж його писанням не віруєте, як моїм словам вірувати мете?
43N||6||1||31200	Після сього пійшов Ісус на той бік моря Галилейського, Тивериядського,
43N||6||2||31210	І йшло за Ним багато народу, бо бачили Його ознаки, що робив над недужими.
43N||6||3||31220	Зійшов же на гору Ісус, і сидїв там з учениками своїми.
43N||6||4||31230	Була ж близько пасха, сьвято Жидівське.
43N||6||5||31240	Знявши ж Ісус очі і побачивши, що багато народу йде до Него, рече до филипа: Звідкіля купимо хлїба, щоб вони попоїли?
43N||6||6||31250	Се ж сказав, вивідуючи його, бо сам знав, що має роботи.
43N||6||7||31260	Відказав Йому Филип: За двісті денариїв хлїба не стане їм, щоб кожному з них хоч трохи досталось.
43N||6||8||31270	Каже Йому один з учеників Його, Андрей, брат Симона Петра:
43N||6||9||31280	Є тут хлопець один, що мав пять хлїбів ячних [ячмінних] та дві рибки; тільки що сього на стільки?
43N||6||10||31290	Рече ж Ісус: Заставте людей сїдати. Була ж трава велика на тому місці. Посідали ж чоловіки, числом тисяч з пять.
43N||6||11||31300	Прийнявши ж хлїби Ісус, і оддавши хвалу, подав ученикам, ученики ж сидячим; так само й риби, скільки хотіли.
43N||6||12||31310	Як же наситились, рече ученикам своїм: Позбирайте останки окрушин, щоб не пропало нїщо.
43N||6||13||31320	Зібрали ж і наповнили дванайцять кошів окрушин із пяти хлїбів ячних, що зосталось у тих, що їли.
43N||6||14||31330	Люде ж, бачивши, яку ознаку зробив Ісус, сказали, що се справді пророк, грядущий на сьвіт.
43N||6||15||31340	Як же постеріг Ісус, що хочуть прийти та схопити Його, щоб зробити Його царем, то пійшов ізнов на гору сам один.
43N||6||16||31350	Як же настав вечір, пійшли ученики Його над море,
43N||6||17||31360	і, ввійшовши в човен, плили на той бік моря у Капернаум. І вже стемнїло, й не приходив до них Ісус.
43N||6||18||31370	А море, од великого вітру, що пурхав, піднялось.
43N||6||19||31380	Одпливши ж гоней на двайцять і пять або трийцять, бачять, що Ісус ходить по морю, і до човна наближують ся, і полякались.
43N||6||20||31390	Він же рече їм: Се я; не лякайтесь.
43N||6||21||31400	Тодї радо прийняли Його в човен, і зараз човен опинивсь коло землї, куди вони прямували.
43N||6||22||31410	Назавтра народ, стоячий по тім боці моря, побачивши, що иншого човна не було там, тільки один той, у котрий ввійшли ученики Його, й що не ввійшов з учениками сво'їми Ісус у човен, а що самі ученики Його відчалили,
43N||6||23||31420	инші ж човни поприходили з Тиверияди поблизу місця, де їли хліб, як хвалу оддав Господь;
43N||6||24||31430	побачивши ж оце люде, що Ісуса там нема, анї учеників Його, ввійшли і вони в човни, та й прибули в Капернаум, шукаючи Ісуса.
43N||6||25||31440	І, знайшовши Його на тім боцї моря, сказали Йому: Рави, коли прибув єси сюда?
43N||6||26||31450	Відказав Їм Ісус і рече: Істино, істино глаголю вам: Шукаєте мене не тому, що бачили ознаки, а що їли хлїб, та й наситились.
43N||6||27||31460	Трудіть ся не для їжи погибаючої, а для їжи, що зостаєть ся в вічне життє, котру Син чоловічий вам дасть; Сього бо Отець ствердив, Бог.
43N||6||28||31470	Казали ж до Него: Що нам робити, щоб чинити діла Божі?
43N||6||29||31480	Відказав Ісус і рече їм: Се єсть дїло Боже, щоб вірувати в Того, кого післав Він.
43N||6||30||31490	Казали ж Йому: Що ж робиш Ти за ознаку, щоб виділи ми, та й вірували Тобі? що чиниш?
43N||6||31||31500	Батьки наші манну їли в пустинї, як писано: Хлїб з неба дав їм їсти.
43N||6||32||31510	Рече ж їм Ісус: Істино, істино глаголю вам: Не Мойсей дав вам хлїб з неба, а Отець мій дає вам хлїб з неба правдивий.
43N||6||33||31520	Бо хлїб Божий той, що сходить з неба, і життє дає сьвітові.
43N||6||34||31530	Казали ж до Него: Господи, всякого часу давай нам хлїб сей.
43N||6||35||31540	Рече ж їм Ісус: Я хлїб життя, хто приходить до мене, не голодувати ме, і хто вірує в мене, не жаждувати ме нїколи.
43N||6||36||31550	Тільки глаголю вам, що й видїли мене, та й не віруєте.
43N||6||37||31560	Усе, що дає менї Отець, до мене прийде; а хто приходить до мене, не вижену геть.
43N||6||38||31570	Бо зійшов я з неба, не щоб чинити волю мою, а волю Пославшого мене.
43N||6||39||31580	Се ж воля пославшого мене Отця, щоб з усього, що дав менї, не погубив я нічого, а воскресив його останнього дня.
43N||6||40||31590	Се ж воля пославшого мене, щоб кожен, хто видить Сина й вірує в Него, мав житте вічне, і я воскрешу його останнього дня.
43N||6||41||31600	Миркали [відказували] тодї Жиди про Него, що сказав: Я хлїб, що зійшов з небес;
43N||6||42||31610	і казали: Хиба се не Ісус, син Йосифів, котрого знаємо ми батька й Матїр? Як же Він каже: Що з неба зійшов я?
43N||6||43||31620	Озвав ся ж Ісус і рече їм: Не миркайте між собою.
43N||6||44||31630	Нїхто не може прийти до мене, коли Отець, пославший мене, не притягне його, й я воскрешу його останнього дня.
43N||6||45||31640	Написано в пророків: І будуть усї навчені від Бога. Тим кожен, хто чув од Отця і навчивсь, приходить до мене.
43N||6||46||31650	Не то, щоб Отця хто видїв, тільки Той, хто від Бога, Той видїв Отця.
43N||6||47||31660	Істино, істино глаголю вам: Хто вірує в мене, має життє вічне.
43N||6||48||31670	Я хлїб життя.
43N||6||49||31680	Батьки ваші їли манну в пустинї, та й повмирали.
43N||6||50||31690	Се хлїб, що з неба сходить, щоб, хто їсть Його, не вмер.
43N||6||51||31700	Я хлїб живий, що з неба зійшов. Коли хто їсть сей хлїб, жити ме по вік; а хлїб, що я дам, се тіло моє, що я дам за життє сьвіту.
43N||6||52||31710	Змагались тодї між собою, говорячи: Як може Він дати нам тіло їсти?
43N||6||53||31720	Рече ж їм Ісус: Істино, істино глаголю вам: Як не їсте тіла Сина чоловічого й не пєте Його крові, не маєте життя в собі.
43N||6||54||31730	Хто їсть тіло моє і пє мою кров, має життє вічне, і я воскрешу його останнього дня.
43N||6||55||31740	Тїло моє справді єсть їжа, а кров моя справді єсть напиток.
43N||6||56||31750	Хто їсть тїло моє і пє кров мою, в менї пробуває, а я в йому.
43N||6||57||31760	Як післав мене живий Отець, і я живу Отцем, так і хто їсть мене, й той жити ме мною.
43N||6||58||31770	Се хлїб, що з неба зійшов. Не як батьки ваші їли манну та й повмирали; хто їсть сей хлїб, жити ме по вік.
43N||6||59||31780	Се Він глаголав у школі, навчаючи в Капернаумі.
43N||6||60||31790	Многі ж слухавши з учеників Його казали: Жорстоке се слово; хто може його слухати?
43N||6||61||31800	Знаючи ж Ісус сам у собі, що миркають про Него ученики Його, рече їм: Се вас блазнить?
43N||6||62||31810	Що ж, коли побачите Сина чоловічого, як входить туди, де перше був?
43N||6||63||31820	Се дух, що оживлює; тіло не годить ся нї на що. Слова, що я глаголю вам, се дух і життє.
43N||6||64||31830	Тільки ж є такі між вами, що не вірують. Знав бо з почину Ісус, котрі не вірують, і хто зрадить Його.
43N||6||65||31840	І рече: Тим глаголав вам, що ніхто не може прийти до мене, коли не буде дано йому від Отця мого.
43N||6||66||31850	Після сього багато з учеників Його пійшли назад, і вже більш з Ним не ходили.
43N||6||67||31860	Рече ж Ісус дванайцятьом: Чи й ви хочете йти?
43N||6||68||31870	Відказав тодї Йому Симон Петр: Господи, до кого йти нам ? у Тебе слова життя вічнього,
43N||6||69||31880	і ми увірували й взнали, що Ти єси Христос, Син Бога живого.
43N||6||70||31890	Відказав їм Ісус: Хиба не я вас дванайцятьох вибрав? а один з вас диявол.
43N||6||71||31900	Говорив же про Юду Симонового Іскариота: сей бо мав Його зрадити, один з дванайцяти.
43N||7||1||31910	І ходив Ісус після сього по Галилеї; не хотів бо по Юдеї ходити, що шукали Його Жиди вбити.
43N||7||2||31920	Було ж близько Жидівське сьвято кучок.
43N||7||3||31930	Казали ж до Него брати Його: Зійди звідсїля, та й іди в Юдею, щоб і ученики Твої виділи діла Твої, що робиш.
43N||7||4||31940	Ніхто бо тайно нїчого не робить, шукаючи сам знаним бути. Коли таке робиш, то покажи себе сьвітові.
43N||7||5||31950	Бо й брати Його не вірували в Него.
43N||7||6||31960	Рече тодї їм Ісус: Пора моя ще не прийшла; ваша ж пора всякого часу готова.
43N||7||7||31970	Не може сьвіт ненавидіти вас, мене ж ненавидить; бо я сьвідкую про него, що діла його лихі.
43N||7||8||31980	Ви йдїть на се сьвято; я ще не пійду на те сьвято, бо пора моя ще не сповнилась.
43N||7||9||31990	Се сказавши їм, зіставсь у Галилеї.
43N||7||10||32000	Як же пійшли брати Його, тодї й Він пійшов на сьвято, не явно, а якби потай.
43N||7||11||32010	Жиди ж шукали Його в сьвято, й казали: Де Він?
43N||7||12||32020	І було багато говірки про Него в народі: инші казали, що Він добрий; инші ж казали: Ні, а зводить народ.
43N||7||13||32030	Та ніхто явно не говорив про Него задля страху перед Жидами.
43N||7||14||32040	Як же було в половинї сьвята, ввійшов Ісус у церкву, та й навчав.
43N||7||15||32050	І дивувались Жиди, кажучи: Як Він писання знає, не вчившись?
43N||7||16||32060	Озвав ся до них Ісус і рече: Моя наука не єсть моя, а Пославшого мене.
43N||7||17||32070	Коли хто хоче волю Його чинити, знати ме про науку, чи від Бога вона, чи я від себе глаголи).
43N||7||18||32080	Хто від себе говорить, слави своєї шукає; хто ж шукає слави Пославшого Його, Той правдивий, і неправди нема в Йому.
43N||7||19||32090	Хиба не Мойсей дав вам закон? а ніхто з вас не чинить закону. Чого шукаєте мене вбити?
43N||7||20||32100	Озвавсь народ і каже: Біса маєш; хто шукає вбити Тебе?
43N||7||21||32110	Відказав Ісус і рече їм: Одно діло зробив я, і всі дивуєтесь.
43N||7||22||32120	Мойсей дав вам обрізаннє (не, що від Мойсея воно, а від батьків); то й у суботу обрізуєте чоловіка.
43N||7||23||32130	Коли обрізаннє приймає чоловік у суботу, щоб не був зламаний закон Мойсеїв, чого на мене ремствуєте, що всього чоловіка уздоровив у суботу?
43N||7||24||32140	Не судіть по виду, а праведний суд судїть.
43N||7||25||32150	Казали тодї деякі з Єрусалимців: Чи не се Той, що шукають убити Його?
43N||7||26||32160	ось явно говорить, і нїчого Йому не кажуть. Чи справді не взнали князі, що Він справді Христос?
43N||7||27||32170	Тільки ж ми Його знаємо, звідкіля Він; Христос же, як прийде, ніхто не знати ме, звідкіля Він.
43N||7||28||32180	Покликне тодї в церкві Ісус, навчаючи й глаголючи: І мене знаєте, й знаєте, звідкіля я! а від себе не прийшов я, єсть же правдивий Пославший мене, котрого ви не знаєте.
43N||7||29||32190	Я ж знаю Його, бо я від Него; й Той мене післав.
43N||7||30||32200	Шукали тодї, щоб схопити Його, та ніхто не зняв на Него руки, бо ще не прийшла година Його.
43N||7||31||32210	Многі ж з народу увірували в Него, й казали: Що, як прийде Христос, чи більші сих ознак робити ме, які Сей зробив?
43N||7||32||32220	Почули Фарисеї, що народ поговорював таке про Него, й післали Фарисеї та архиєреї слуги, щоб схопили Його.
43N||7||33||32230	Рече їм тодї Ісус: Ще малий час я з вами, й пійду до Пославшого мене.
43N||7||34||32240	Шукати мете мене, та й не знайдете; й де я, ви не зможете прийти.
43N||7||35||32250	Казали тодї Жиди між собою: Куди Він хоче йти, що ми не знайдемо Його? Чи не між розсипаних Геленян хоче йти та навчати Геленян?
43N||7||36||32260	Що се за слово, що каже: Шукати мете мене, та й не знайдете? і: Де я, ви не можете прийти?
43N||7||37||32270	В останній же великий день сьвята став Ісус, та й покликнув, глаголючи: Коли хто жаждує, нехай прийде до мене, та й пє.
43N||7||38||32280	Хто вірує в мене, як рече писаннє, ріки води живої з черева його потечуть.
43N||7||39||32290	Се ж глаголав про Духа, що мають прийняти віруючі в Него; ще бо не був (на них) Дух сьвятий, бо Ісус ще не прославив ся.
43N||7||40||32300	Многі ж з народу, почувши се слово, сказали: Се справді пророк,
43N||7||41||32310	инші казали: Чи з Галилеї ж Христу приходити?
43N||7||42||32320	Чи не глаголе ж писаннє, що з насіння Давидового й з Витлеєма села, де був Давид, Христос прийде?
43N||7||43||32330	Тодї повстало роздїленнє в народі через Него.
43N||7||44||32340	Деякі ж з них хотіли схопити Його; тільки ж ніхто не зняв на Него рук.
43N||7||45||32350	Прийшли тодї слуги до архиєреїв та Фарисеїв, і казали їм вони: Чом не привели Його?
43N||7||46||32360	Відказали слуги: Ніколи так не говорив чоловік, як Сей чоловік.
43N||7||47||32370	Відказали тодї їм Фарисеї: Чи й вас не зведено?
43N||7||48||32380	Хиба хто з князїв увірував у Него, або з Фарисеїв?
43N||7||49||32390	А сей народ, що не знає закону, проклятий.
43N||7||50||32400	Каже Никодим до них, котрий приходив у ночі до Него, бувши один з них:
43N||7||51||32410	Чи закон наш судить чоловіка, коли не вислухає його перше й не знає, що робить?
43N||7||52||32420	Озвались вони й казали йому: Чи й ти з Галилеї єси? Пошукай і подивись, що пророк з Галилеї не встає.
43N||7||53||32430	пійшов кожен до дому свого.
43N||8||1||32440	Ісус же пійшов на гору Оливну.
43N||8||2||32450	Вранці ж ізнов прийшов у церкву, і всї люде приходили до Него; й сівши навчав їх.
43N||8||3||32460	Приводять же письменники та Фарисеї до Него жінку, схоплену в перелюбі, і, поставивши її посередині,
43N||8||4||32470	кажуть Йому: Учителю, сю жінку схоплено в перелюбі, на самому вчинку.
43N||8||5||32480	В законі ж Мойсей нам звелів таких каменувати; Ти ж що кажеш?
43N||8||6||32490	Се ж казали, спокушуючи Його, щоб мали чим винувата Його. Ісус же, схилившись до долу, писав пальцем по землі'.
43N||8||7||32500	Як же не переставали питати Його, піднявшись рече до них: Хто з вас без гріха, нехай первий кине камінь на неї.
43N||8||8||32510	І, знов, схилившись до долу, писав по землї.
43N||8||9||32520	Вони ж, почувши й докорені совістю, вийшли один за одним, почавши від старших та аж до останніх; і воетавсь один Ісус та жінка, стоячи посередині.
43N||8||10||32530	Піднявши ся ж Ісус і нікого не бачивши, тільки жінку, рече їй: Жінко, де ж ті винувателї твої? ніхто тебе не осудив?
43N||8||11||32540	Вона ж каже: Нїхто, Господи. Рече ж їй Ісус: І я тебе не суджу: йди, і більш не гріши.
43N||8||12||32550	Знов же промовляв їм Ісус, глаголючи: Я сьвітло сьвіту. Хто йде слїдом за мною, не ходити ме в темряві, а мати ме сьвітло життя.
43N||8||13||32560	Казали тодї Йому Фарисеї: Ти про себе сьвідкуєш; сьвідченне Твоє неправдиве.
43N||8||14||32570	Озвавсь Ісус і рече їм: Хоч я сьвідкую про себе, правдиве сьвідченнє моє; бо я знаю, звідкіля а прийшов, і куди йду.
43N||8||15||32580	Ви по тілу судите; я не суджу нікого.
43N||8||16||32590	Коли яс я суджу, суд мій правдивий; бо я не один, а я й.пославший мене Отець.
43N||8||17||32600	І в законі ж вашому написано, що двох людей сьвідченнє правдиве.
43N||8||18||32610	Я сьвідкую про себе, й сьвідкує про мене пославший мене Отець.
43N||8||19||32620	Казали тодї Йому: Де Отець Твій? Відказав Ісус: Нї мене не знаєте, ні Отця мого. Коли б мене знали, й Отця мого знали б.
43N||8||20||32630	Такі слова промовив Ісус у скарбницї, навчаючи в церкві; і ніхто не хапав Його; бо ще не прийшла година Його.
43N||8||21||32640	Рече їм тодї знов Ісус: Я йду, й шукати мете мене, і в гріхах ваших$$
43N||8||21||32650	Куди ж я йду, ви не можете йти.
43N||8||22||32660	Сказали тодї Жиди: Чи не вбє Він себе, що каже: Куди я йду, ви не можете йти?
43N||8||23||32670	І рече їм: Ви од нижнього, я од вишнього; ви од сьвіту сього, я не од сьвіту сього.
43N||8||24||32680	Тим я сказав вам, що повмираєте в гріхах ваших: коли бо не увіруєте, що се я, повмираєте в гріхах ваших.
43N||8||25||32690	Казали тодї Йому: Хто Ти єси? І рече їм Ісус: Той, що з почину, яв і глалолю  вам.
43N||8||26||32700	Багато маю про вас глаголати й судити; тільки ж Пославший мене правдивий; і я, що чув від Него, се глаголю в сьвітї.
43N||8||27||32710	Не розуміли, що про Отця їм глаголе.
43N||8||28||32720	Рече ж їм Ісус: Як. знесете вгору Сина чоловічого, тодї зрозумієте, що се я, і що від себе не роблю нїчого; тільки, як навчив мене Отець мій, таке глаголю.
43N||8||29||32730	І Пославший мене - зо мною; не зоставив мене одного Отець; бо я робото всякого часу, що подобавть ся Йому.
43N||8||30||32740	Як се Він промовляв, многі увірували в Него.
43N||8||31||32750	Рече тодї Ісус до Жидів, що увірували Йому: Коли пробувати мете у слові моєму, справді ви ученики мої будете,
43N||8||32||32760	і зрозумієте правду, й правда визволить вас.
43N||8||33||32770	Відказали Йому: Ми насїннє Авраамове, й нї в кого не були в неволї ніколи. Як же Ти говориш, що вільнї будете?
43N||8||34||32780	Відказав їм Ісус: Істино, істино глаголю вам: Що всякий, хто робить гріх, невільник гріха.
43N||8||35||32790	Невільник же не пробував в дому до віку, Син пробував до віку.
43N||8||36||32800	Коли ж Син визволить вас, справді вільними будете.
43N||8||37||32810	Знаю, що ви насїннв Авраамове; та шукаєте вбити мене, бо слово моє не містить ся в вас.
43N||8||38||32820	Я, що видїв ув Отця мого, глаголю; а ви, що видїли в отця вашого, робите.
43N||8||39||32830	Озвались вони й казали Йому: Отець наш Авраам. Рече їм Ісус: Коли б ви дїти Авраамові були, дїла Авраамові робили б.
43N||8||40||32840	Тепер же шукаєте вбити мене, чоловіка, що вам правду глаголав, котру чув я від Бога. Сього Авраам не робив.
43N||8||41||32850	Ви робите дїла отця вашого. Казали тодї Йому: Ми не з перелюбу родились: одного Отця маємо, Бога.
43N||8||42||32860	Рече ж їм Ісус: Коли б Бог отець ваш був, любили б ви мене; бо я від Бога вийшов і приходжу, бо не від себе прийшов я, а Він мене післав.
43N||8||43||32870	Чом бесїди моєї не розумієте? Бо не можете слухати слова мого.
43N||8||44||32880	Ви від отця диявола, й хотїння отця вашого диявола хочете робити. Той був душогубцем з почину; й в правдї не встояв; бо нема правди в йому. Коли говорить брехню, із свого говорить; бо він брехун і отець її.
43N||8||45||32890	А що я правду глаголю, не віруєте менї.
43N||8||46||32900	Хто з вас докорить менї за гріх? Коли ас правду глаголю, чому ви не віруєте менї?
43N||8||47||32910	Хто від Бога, слова Божі слу. хав. Тому ви не слухаєте, що ви ве від Бога.
43N||8||48||32920	Озвались тодї Жиди, й казали Йому: Чи недобре ми кажемо, що Самарянин єси Ти, і біса маєш?
43N||8||49||32930	Відказав Ісус: Я біса не маю, а шаную Отця мого; ви ж не шануєте мене.
43N||8||50||32940	Я ж не шукаю моєї слави; єсть, хто шукає й судить.
43N||8||51||32950	Істино, істино глаголю вам: Коли хто слово моє хоронити ме, смерти не побачить по вік.
43N||8||52||32960	Сказали тодї Йому Жиди: Тепер ми знаємо, що Ти біса маєш. Авраам умер і пророки, а Ти кажеш: Коли хто слово моє хоронити ме, не вкусить смерти по вік.
43N||8||53||32970	Хиба Ти більший єси, нїж отець наш Авраам, що вмер? І пророки повмирали. Ким Ти себе робиш ?
43N||8||54||32980	Відказав Ісус: Коди я прославляю себе, слава моя нїщо. Єсть Отець мій, що прославляє мене, про котрого ви кажете, що Він Бог ваш.
43N||8||55||32990	не пізнали Його; я ж знаю Його. А коли я скажу, що не знаю Його, буду подобний вам ложник. Нї, знаю Його, й слово Його хороню.
43N||8||56||33000	Авраам, отець ваш, рад був видїти день мій; та він увидїв, і зрадїв.
43N||8||57||33010	Казали тодї Жиди до Него: Не маєш пятидесяти років ще, і Авраама видїв єси?
43N||8||58||33020	Рече їм Ісус: Істино, істино глаголю вам: Перш нїж Авраамові бути, я був.
43N||8||59||33030	Брали тодї каміннє, щоб кидати на Него; Ісус же сховав ся, і вийшов з церкви, пройшовши посеред них, і дійшов так мимо.
43N||9||1||33040	І, йдучи мимо, побачив чоловіка, сліпого зроду.
43N||9||2||33050	І спитали в Него ученики Його, говорячи: Рави, хто згрішив: він, чи родителї його, що слїпим родив ся.
43N||9||3||33060	Відказав Ісус: Нї він не згрішив, нї родителї його, тільки щоб явились дїла Божі на йому.
43N||9||4||33070	Менї треба робити дїла Пославшого мене, поки дня: прийде ніч; тодї нїхто не зможе робити.
43N||9||5||33080	Доки я в сьвітї, я сьвітло сьвітові.
43N||9||6||33090	Се промовивши, плюнув на землю, і зробив грязиво з слини, та й помазав грязивом очі елїпому,
43N||9||7||33100	і рече йому: Іди, вмий ся в купелї Силоамській (що перекладом: Посланий). Пійшов же і вмивсь, та й прийшов видющий.
43N||9||8||33110	Сусїди ж, що видїли його перше, що був слїпий, казали: Чи се не той, що сидїв та просив ?
43N||9||9||33120	Инші казали: Що се той; а другі: Що похожий на него. Він же каже: Що се я.
43N||9||10||33130	Сказали тодї йому: Як відкрились твої очі?
43N||9||11||33140	Відказав він, і каже: Чоловік, званий Ісус, зробив грязиво, й помазав мої очі, і рече менї: Іди до Силоамської купелї та вмий ся. Пійшовши ж і вмившись, прозрів я.
43N||9||12||33150	Сказали тодї йому: Де Він? Каже: Не знаю.
43N||9||13||33160	Приводять його до Фарисеїв, колись слїпого.
43N||9||14||33170	Була ж субота, як грязиво зробив Ісус, і відкрив його очі.
43N||9||15||33180	Знов же питали його Фарисеї, як прозрів. Він же казав їм: Грязиво положив на очі мої, а я вмивсь, та й бачу.
43N||9||16||33190	Казали тодї деякі з Фарисеїв: Сей чоловік не від Бога, бо суботи не хоронить. Инші казали: Яв може чоловік грішний такі ознаки робити? І була незгода між ними.
43N||9||17||33200	Кажуть елїпому знов: Ти що кажеш про Него, що відкрив твої очі? Він же сказав: Що Він пророк.
43N||9||18||33210	Не увірували ж Жиди про него, що слїпим був і прозрів, аж доки покликали родителїв самого прозрівшого.
43N||9||19||33220	І питали їх, кажучи: Чи се син ваш, про котрого ви кажете, що слїпим родив ся? як же тепер бачить?
43N||9||20||33230	Відказали їм родителї його, й казали: Знаємо, що син наш, і що слїпим родив ся;
43N||9||21||33240	як же тепер бачить, не знаємо; або хто відкрив його очі, ми не знаємо. Він зріст має, його спитайте; сам про себе нехай говорить.
43N||9||22||33250	Се казали родителї його, бо боялись Жидів; уже бо постановили Жиди, щоб, коли хто Його визнає Христом, того вилучити із школи.
43N||9||23||33260	Тим родителї його казали: Що зріст має, його питайте.
43N||9||24||33270	Покликали тодї вдруге чоловіка, що був слїпим, і сказали йому: Дай славу Богу; ми знаємо, що чоловік сей грішний.
43N||9||25||33280	Озвав ся ж той, і сказав: Чи грішний, не знаю; одно знаю, що, слїпим бувши, тепер бачу.
43N||9||26||33290	Сказали ж йому знов: Що зробив тобі? як одкрив очі твої?
43N||9||27||33300	Відказав їм: Я сказав вам уже, й ви чули. Чого знов хочете чути? Хиба й ви хочете Його учениками бути?
43N||9||28||33310	Налаяли його тодї, і казали: Ти ученик Його, ми ж Мойсейові ученики.
43N||9||29||33320	Ми знаємо, що Мойсейові глаголав Бог; Сього ж не знаємо, звідкіля Він.
43N||9||30||33330	Озвавсь чоловік, і каже їм: Тим воно й дивно, що ви не знаєте, звідкіля Він, а відкрив очі мої.
43N||9||31||33340	Ми ж знаємо, що грішників Бог не слухав; хто ж побожний та волю Його чинить, того слухав.
43N||9||32||33350	Од віку не чувано, щоб одкрив хто очі зроду слїпому.
43N||9||33||33360	Коли б Сей не був від Бога, не міг би робити нічого.
43N||9||34||33370	Озвались і казали йому: У гріхах ти родивсь увесь, і ти навчаєш нас? Та й вигнали його геть.
43N||9||35||33380	Почув Ісус, що вигнали його геть, і, знайшовши його, сказав йому: Ти віруєш у Сина Божого?
43N||9||36||33390	Озвав ся той, і сказав: Хто Він, Господи, щоб увірував я в Него?
43N||9||37||33400	Рече ж йому Ісус: І видїв єси Його, й хто говорить з тобою, се Він.
43N||9||38||33410	Він же каже: Вірую, Господи, та й поклонивсь Йому.
43N||9||39||33420	І рече Ісус: На суд я в сьвіт сей прийшов, щоб которі не бачять, почали бачити, й щоб которі бачять, слїпими робились.
43N||9||40||33430	І почули се деякі з Фарисеїв, що були з Ним, і казали Йому: То й ми слїпі ?
43N||9||41||33440	Рече їм Ісус: Коли б слїпі були, не мали б гріха; тепер же кажете: Що бачимо; тим гріх ваш остаєть ся.
43N||10||1||33450	Істино, істино глаголю вам: Хто не ввіходить дверима в кошару, а перелазить де инде, той злодїй і розбійник.
43N||10||2||33460	Хто ж увіходить дверима, той пастир вівцям.
43N||10||3||33470	Тому воротар одчиняв, і вівцї голосу його слухають, і свої вівцї кличе по імени, і виводить їх.
43N||10||4||33480	яв вижене вівцї свої, ійде поперед них, а вівцї ійдуть слїдом за ним, бо знають голос його.
43N||10||5||33490	За чужим же не пійдуть, а втікати муть од него, бо не знають голосу чужих.
43N||10||6||33500	Сю приповість сказав їм Ісус, вони ж не зрозуміли, що се було, про що глаголав їм.
43N||10||7||33510	Тоді знов рече їм Ісус: Істино, істино глаголю вам: Що я двері вівцям.
43N||10||8||33520	Всі, скільки прийшло їх перше мене, злодії і розбійники; тільки ж не послухали їх вівцї.
43N||10||9||33530	Я - двері: мною коли хто ввійде, спасеть ся, і входити ме, й виходити ме, і знайде пашу.
43N||10||10||33540	Злодїй не приходить, як тільки щоб украсти, і вбити, й погубити. Я прийшов, щоб життє мали, й надто мали.
43N||10||11||33550	Я пастир добрий: пастир добрий душу свою кладе за вівцї.
43N||10||12||33560	Наймит же й хто не пастир, що не його вівцї, бачить вовка йдучого, та й кидав вівцї, та й утікав; а вовк хапа їх, і розсипав вівцї.
43N||10||13||33570	Наймит же втїкав, бо він наймит, і не журить ся про вівцї.
43N||10||14||33580	Я пастир добрий, і знаю моїх, і знають мене мої.
43N||10||15||33590	Яко ж знає мене Отець, так і я знаю Отця, і душу мою кладу за вівцї.
43N||10||16||33600	І инші вівцї маю, що не сієї кошари; і тих я мушу привести, й голос мій почують, і буде одно стадо, й один пастир.
43N||10||17||33610	За те Отець мене любить, що я кладу душу мою, щоб знов прийняти її.
43N||10||18||33620	Нїхто не бере її від мене, а я кладу її від себе. Маю власть положити її, і маю власть знов прийняти її. Сю заповідь прийняв я від Отця мого.
43N||10||19||33630	Постала тодї знов незгода між Жидами за слова сї.
43N||10||20||33640	Казали ж многі з них: Біса має і божеволїє; чого ви Його слухаєте?
43N||10||21||33650	Инші казали: Се слова не біснуватого. Хиба біс може сліпим очі відкривати?
43N||10||22||33660	Були ж поновини в Єрусалимі, і зима була.
43N||10||23||33670	І ходив Ісус до церкві у Соломоновім ходнику.
43N||10||24||33680	Обступили тодї Його Жиди, й казали Йому: Доки нас морочити меш? Коли Ти Христос, скажи нам явно.
43N||10||25||33690	Відказав їм Ісус: Я казав вам, та й не віруєте. Дїла, що я роблю в імя Отця мого, сї сьвідкують про мене.
43N||10||26||33700	Та ви не віруєте, бо ви не з овець моїх, як я казав вам.
43N||10||27||33710	Вівцї мої голосу мого слухають, і я знаю їх, і вони йдуть слїдом за мною.
43N||10||28||33720	І я житте вічне даю їм; і не погинуть до віку, й не вихопить їх нїхто з рук моїх.
43N||10||29||33730	Отець мій, що дав мені, більший усїх, і нїхто не здолїє вихопити їх із рук Отця мого.
43N||10||30||33740	Я і Отець одно.
43N||10||31||33750	Брали тодї знов камінне Жиди, щоб каменувати Його.
43N||10||32||33760	Озвавсь до них Ісус: Багато добрих дїл явив я від Отця мого. За которе з тих діл каменуєте мене?
43N||10||33||33770	Відказали йому Жиди, говорячи: За добре діло не каменуємо Тебе, а за хулу, і що Ти, чоловіком бувши, робиш себе Богом.
43N||10||34||33780	Озвавсь до них Ісус: Хиба не написано в законї вашому: Я сказав, ви боги?
43N||10||35||33790	Коли тих назвав богами, до кого слово Боже було, та й не може поламатись писаннє, 
