40N||1||1||10	LIBRO de la generacion de Jesu-Cristo, hijo de David, hijo de Abraham.
44N||10||1||41160	HABIA un varon en Cesaréa, llamado Cornelio, centurion de la compañía que se llamaba la Italiana,
44N||10||2||41170	Pio, y temeroso de Dios con toda su casa, y que hacia muchas limosnas al pueblo, y oraba á Dios siempre.
44N||10||3||41180	Este vió en vision manifiestamente como á la hora nona del dia, que un ángel de Dios entraba á él, y le decia: Cornelio.
44N||10||4||41190	Y él, puestos en él los ojos, espantado, dijo ¿Qué es, Señor? Y díjole: Tus oraciones y tus limosnas han subido en memoria á la presencia de Dios.
44N||10||5||41200	Envia pues ahora hombres á Joppe y haz venir á un Simon, que tiene por sobrenombre Pedro.
44N||10||6||41210	Este posa en casa de un Simon, curtidor, que tiene su casa junta á la mar: él te dirá lo que te conviene hacer.
44N||10||7||41220	E ido el ángel que hablaba con Cornelio, llama dos de sus criados, y un devoto soldado de los que le asistian:
44N||10||8||41230	A los cuales, despues de habérselo contado todo, les envió á Joppe.
44N||10||9||41240	Y el dia siguiente, yendo ellos su camino, y llegando cerca de la ciudad, Pedro subió á la azotéa á orar, cerca de la hora de sexta. 
44N||10||10||41250	Y aconteció que le vino una grande hambre, y quiso comer: pero mientras [se lo] disponian, sobrevínole un éxtasi, 
44N||10||11||41260	Y vió el cielo abierto, y que descendia un vaso, como un gran lienzo, que atado de los cuatro cabos, era bajado á la tierra; 
44N||10||12||41270	En el cual habia de todos los animales cuadrúpedos de la tierra, y reptiles^, y aves del cielo. 
44N||10||13||41280	Y le vino una voz: Levántate, Pedro, mata y come. 
44N||10||14||41290	Entónces Pedro dijo: Señor, no; porque ninguna cosa comun é inmunda he comido jamás. 
44N||10||15||41300	Y volvió la voz hacia él la segunda vez: Lo que Dios limpió no [lo] llamas tú comun. 
44N||10||16||41310	Y esto fué hecho por tres veces; y el vaso volvió á ser recogido en el cielo. 
44N||10||17||41320	Y estando Pedro dudando dentro de sí, qué seria la vision que habia visto, hé aquí los hombres que habian sido enviados por Cornelio, que preguntando por la casa de Simon, llegaron á la puerta. 
44N||10||18||41330	Y llamando, preguntaron si un Simon, que tenia por sobrenombre Pedro, posaba allí. 
44N||10||19||41340	Y estando Pedro pensando en la vision, le dijo el Espíritu: Hé aquí tres hombres te buscan. 
44N||10||20||41350	Levántate pues, y desciende, y no dudes ir con ellos; porque yo los he enviado. 
44N||10||21||41360	Entónces Pedro descendiendo á los hombres que eran enviados por Cornelio, dijo: Hé aquí, yo soy el que buscais: ¿qué [es] la causa por que habeis venido? 
44N||10||22||41370	Y ellos dijeron: Cornelio, el centurion, varon justo, y temeroso de Dios, y que tiene testimonio de toda la nacion de los Judíos, ha recibido respuesta por un santo ángel, de hacerte venir á su casa, y oir de tí palabras. 
44N||10||23||41380	Entónces metiéndoles dentro, los hospedó: y al dia siguiente levantándose se fué con ellos; y le acompañaron algunos de los hermanos de Joppe. 
44N||10||24||41390	Y al otro dia entraron en Cesaréa. Y Cornelio les estaba esperando, habiendo llamado sus parientes y los amigos más familiares. 
44N||10||25||41400	Y como Pedro entró, salió Cornelio á recibirle; y derribándose á sus piés, adoró. 
44N||10||26||41410	Mas Pedro le levantó, diciendo: Levántate: yo mismo tambien soy hombre. 
44N||10||27||41420	Y hablando con él, entró, y halló á muchos que se habian juntado. 
44N||10||28||41430	Y les dijo: Vosotros sabeis que es abominable á un varon Judío juntarse ó llegarse á extranjero; mas me ha mostrado Dios, que á ningun hombre llame comun ó inmundo. 
44N||10||29||41440	Por lo cual llamado, he venido sin dudar. Así que pregunto, ¿por qué causa me habeis hecho venir? 
44N||10||30||41450	Entónces Cornelio dijo: Cuatro dias ha que á esta hora yo estaba ayuno; ya la hora de nona estando orando en mi casa, hé aquí un varon se puso delante de mí en vestido resplandeciente, 
44N||10||31||41460	Y dijo: Cornelio, tu oracion es oida, y tus limosnas han venido en memoria en la presencia de Dios. 
44N||10||32||41470	Envia pues á Joppe, y haz venir á un Simon, que tiene por sobrenombre Pedro; este posa en casa de Simon, un curtidor, junto á la mar, el cual venido te hablará. 
44N||10||33||41480	Así que, luego envié á tí; y tú has hecho bien en venir. Ahora, pues, todos nosotros estamos aquí en la presencia de Dios para oir todo lo que Dios te ha mandado. 
44N||10||34||41490	Entónces Pedro, abriendo su boca, dijo: Por verdad hallo que Dios no hace acepcion de personas, 
44N||10||35||41500	Sino que de cualquier nacion, que le teme y obra justicia, se agrada. 
44N||10||36||41510	Envió palabra [Dios] á los hijos de Israel, anunciando la paz por Jesu-Cristo: este es el Señor de todos. 
44N||10||37||41520	Vosotros sabeis lo que fué divulgado por toda Judéa, comenzando desde Galiléa, despues del bautismo que Juan predicó, 
44N||10||38||41530	[Cuanto] á Jesus de Nazaret; como le ungió Dios de Espíritu Santo y de potencia: el cual anduvo haciendo bienes, y sanando todos los oprimídos del diablo: porque Dios era con él. 
44N||10||39||41540	Y nosotros somos testigos de todas las cosas que hizo en la tierra de Judéa, y en Jerusalem; al cual mataron colgándole en un madero. 
44N||10||40||41550	A este levantó Dios al tercer dia, é hizo que apareciese manifiesto, 
44N||10||41||41560	No á todo el pueblo, sino á los testigos que Dios ántes habia ordenado, [es á saber,] á nosotros, que comimos y bebimos con él, despues que resucitó de los muertos. 
44N||10||42||41570	Y nos mandó que predicásemos al pueblo, y testificásemos: Que él es el que Dios ha puesto por Juez de vivos y muertos. 
44N||10||43||41580	A este dan testimonio todos los profetas, de que todos los que en el creyeren, recibirán perdon de pecados por su nombre. 
44N||10||44||41590	Estando aun hablando Pedro estas palabras, el Espíritu Santo cayó sobre todos los que oian el sermon. 
44N||10||45||41600	Y se espantaron los fieles que eran de la circuncision que habian venido con Pedro, de que tambien sobre los Gentiles se derramase el don del Espíritu Santo. 
44N||10||46||41610	Porque los oian que hablaban en lenguas, y que magnificaban á Dios. Entónces respondió Pedro: 
44N||10||47||41620	¿Puede alguno impedir el agua para que no sean bautizados estos que han recibido el Espíritu Santo tambien como nosotros? 
44N||10||48||41630	Y les mandó bautizar en el nombre del Señor Jesus. Entónces le rogaron que se quedase [con ellos] por algunos dias.
44N||11||1||41640	Y OYERON los apóstoles y los hermanos que estaban en Judéa, que tambien los Gentiles habian recibido la palabra de Dios.
44N||11||2||41650	Y como Pedro subió á Jerusalem, contendian contra él los que eran de la circuncision,
44N||11||3||41660	Diciendo: ¿Por qué has entrado á hombres incircuncisos, y has comido con ellos?
44N||11||4||41670	Entonces comenzando Pedro, les declaró por órden [lo pasado,] diciendo:
44N||11||5||41680	Estaba yo en la ciudad de Joppe orando, y ví en rapto de entendimiento una vision; un vaso, como un gran lienzo, que descendia, que por los cuatro cabos era abajado del cielo, y venia hasta mí:
44N||11||6||41690	En el cual como puse los ojos, consideré y ví animales terrestres de cuatro piés, y fieras, y reptiles, y aves del cielo.
44N||11||7||41700	Y oí una voz que me decia: Levántate, Pedro; mata y come.
44N||11||8||41710	Y dije: Señor, no; porque ninguna cosa comun ni inmunda entró jamás en mi boca.
44N||11||9||41720	Entónces la voz me respondió del cielo segunda vez: Lo que Dios limpió no [lo] llamas tu comun. 
44N||11||10||41730	Y esto fué hecho por tres veces: y volvió todo á ser tomado arriba en el cielo. 
44N||11||11||41740	Y hé aquí que luego sobrevinieron tres hombres á la casa donde yo estaba, enviados á mí de Cesaréa. 
44N||11||12||41750	Y el Espíritu me dijo que fuese con ellos sin dudar. Y vinieron tambien conmigo estos seis hermanos, y entramos en casa de un varon, 
44N||11||13||41760	El cual nos contó como habia visto un ángel en su casa, que se paró, y le dijo: Envia á Joppe, y haz venir á un Simon que tiene por sobrenombre Pedro; 
44N||11||14||41770	El cual te hablará palabras por las cuales serás salvo tú, y toda tu casa. 
44N||11||15||41780	Y como comencé á hablar, cayó el Espíritu Santo sobre ellos, tambien como sobre nosotros al principio. 
44N||11||16||41790	Entónces me acordé del dicho del Señor, como dijo: Juan ciertamente bautizó en agua, más vosotros seréis bautizados en Espíritu Santo. 
44N||11||17||41800	Así que, si Dios les dió el mismo don tambien como á nosotros que hemos creido en el Señor Jesu-Cristo, ¿quién era yo que pudiese estorbar á Dios? 
44N||11||18||41810	Entónces, oidas estas cosas, callaron, y glorificaron á Dios, diciendo: De manera que tambien á los Gentiles ha dado Dios arrepentimiento para vida. 
44N||11||19||41820	Y los que habian sido esparcidos por causa de la tribulacion que sobrevino en tiempo de Esteban, anduvieron hasta Fenicia, y Cipro, y Antioquia, no hablando á nadie la palabra, sino á solos los Judíos. 
44N||11||20||41830	Y de ellos habia unos varones Ciprios y Cirenenses, los cuales como entraron en Antioquia, hablaron á los Griegos, anunciando el Evangelio del Señor Jesus. 
44N||11||21||41840	Y la mano del Señor era con ellos; y creyendo gran numero [de gente,] se convirtió al Señor. 
44N||11||22||41850	Y llegó la fama de estas cosas á oidos de la iglesia que estaba en Jerusalem; y enviaron á Bernabé que fuese hasta Antioquia. 
44N||11||23||41860	El cual, como llegó, y vió la gracia de Dios, regocijóse, y exhortó á todos que permaneciesen en el propósito del corazon en el Señor. 
44N||11||24||41870	Porque era varon bueno y lleno de Espíritu Santo y de fé: y mucha compañía fué agregada al Señor. 
44N||11||25||41880	Despues partió Bernabé á Tarso á buscar á Saulo; y hallado, le trajo á Antioquia. 
44N||11||26||41890	Y conversaron todo un año allí con la iglesia y enseñaron mucha gente; y los discípulos fueron llamados Cristianos primeramente en Antioquia. 
44N||11||27||41900	Y en aquellos dias descendieron de Jerusalem profetas á Antioquia. 
44N||11||28||41910	Y levantándose uno de ellos, llamado Agabo, daba á entender por Espíritu, que habia de haber una grande hambre en toda la redondez de las tierras; la cual tambien hubo en tiempo de Claudio. 
44N||11||29||41920	Entónces los discípulos, cada uno conforme á lo que tenia, determinaron enviar subsidio á los hermanos que habitaban en Judéa. 
44N||11||30||41930	Lo cual asimismo hicieron, enviándo[lo] á los ancianos por mano de Bernabé y de Saulo.
44N||12||1||41940	EN el mismo tiempo el rey Heródes echó mano á maltratar algunos de la iglesia.
44N||12||2||41950	Y mató á cuchillo á Jacobo, hermano de Juan:
44N||12||3||41960	Y viendo que habia agradado á los Judíos, pasó adelante para prender tambien á Pedro. Eran entónces los dias de los ázimos.
44N||12||4||41970	Y habiéndole preso, púso[lo] en la cárcel, entregándole á cuatro cuaterniones de soldados que le guardasen; queriendo sacarle al pueblo despues de la Pascua.
44N||12||5||41980	Así que, Pedro era guardado en la cárcel; y la iglesia hacia oracion á Dios sin cesar por él.
44N||12||6||41990	Y cuando Heródes le habia de sacar, aquella misma noche estaba Pedro durmiendo entre dos soldados, preso con dos cadenas: y los guardas delante de la puerta que guardaban la cárcel.
44N||12||7||42000	Y hé aquí el ángel del Señor sobrevino, y una luz resplandeció en la cárcel; é hiriendo á Pedro en el lado, le despertó diciendo: Levántate prestamente. Y las cadenas se le cayeron de las manos.
44N||12||8||42010	Y le dijo el ángel: Cíñete, y átate tus sandalias. Y lo hizo así. Y le dijo: Rodéate tu ropa, y sígueme.
44N||12||9||42020	Y saliendo, le seguia, y no sabia que era verdad lo que hacia el ángel; mas pensaba que veia vision. 
44N||12||10||42030	Y como pasaron la primera y la segunda guarda, vinieron á la puerta de hierro, que va á la ciudad, la cual se les abrió de suyo: y salidos, pasaron una calle; y luego el ángel se apartó de él. 
44N||12||11||42040	Entónces Pedro, volviendo en sí, dijo: Ahora entiendo verdaderamente que el Señor ha enviado su ángel, y me ha librado de la mano de Heródes, y de todo el pueblo de los Judíos que me esperaba. 
44N||12||12||42050	Y habiendo considerado [esto,] llegó á casa de María la madre de Juan, el que tenia por sobrenombre Marcos, donde muchos estaban juntos orando. 
44N||12||13||42060	Y tocando Pedro á la puerta del patio, salió una muchacha, para escuchar, llamada Rhode: 
44N||12||14||42070	La cual, como conoció la voz de Pedro, de gozo no abrió el postigo, sino corriendo dentro, dió nueva que Pedro estaba al postigo. 
44N||12||15||42080	Y ellos le dijeron: Estás loca: mas ella afirmaba que así era. Entónces ellos decian: Su ángel es. 
44N||12||16||42090	Mas Pedro perseveraba en llamar: y cuando abrieron, viéronle, y se espantaron. 
44N||12||17||42100	Mas él haciéndoles señal con la mano que callasen, les contó cómo el Señor le habia sacado de la cárcel, y dijo: Haced saber esto á Jacobo y á los hermanos. Y salió, y partió á otro lugar. 
44N||12||18||42110	Luego que fué de dia, hubo no poco alboroto entre los soldados sobre qué se habia hecho de Pedro. 
44N||12||19||42120	Mas Heródes, como le buscó, y no le halló, hecha inquisicion de los guardas, los mandó llevar. Despues descendiendo de Judéa á Cesarea, se quedó [allí.] 
44N||12||20||42130	Y Heródes estaba enojado contra los de Tiro, y los de Sidon: mas ellos vinieron concordes á él, y sobornado Blasto, que era el camarero del rey, pedian paz: porque las tierras de ellos eran abastecidas por las del rey. 
44N||12||21||42140	Y un dia señalado, Heródes vestido de ropa real, se sentó en el tribunal, y arengóles. 
44N||12||22||42150	Y el pueblo aclamaba: Voz de Dios, y no de hombre. 
44N||12||23||42160	Y luego el ángel del Señor le hirió, por cuanto no dió la gloria á Dios; y espiró comido de gusanos. 
44N||12||24||42170	Mas la palabra del Señor crecia, y era multiplicada. 
44N||12||25||42180	Y Bernabé y Saulo volvieron de Jerusalem cumplido su servicio, tomando tambien consigo á Juan, el que tenia por sobrenombre Marcos.
44N||13||1||42190	HABIA entónces en la iglesia que estaba en Antioquia, profetas y doctores; Bernabé, y Simon el que se llamaba Niger, y Lucio Cirenéo, y Manahen, que habia sido criado con Heródes el tetrarca, y Saulo.
44N||13||2||42200	Ministrando pues estos al Señor, y ayunando, dijo el Espíritu Santo: Apartadme á Bernabé y á Saulo para la obra para la cual los he llamado.
44N||13||3||42210	Entónces habiendo ayunado, y orado, y puéstoles las manos encima, despidiéron[les.]
44N||13||4||42220	Y ellos, enviados así por el Espíritu Santo, descendieron á Seleucia; y de allí navegaron á Cipro.
44N||13||5||42230	Y llegados á Salamina, anunciaban la palabra de Dios en las sinagogas de los Judíos: y tenian tambien á Juan en el ministerio.
44N||13||6||42240	Y habiendo atravesado toda la isla hasta Pafo, hallaron un hombre mago, falso profeta Judío, llamado Barjesus:
44N||13||7||42250	El cual estaba con el procónsul Sergio Paulo, varon prudente. Este, llamando á Bernabé y á Saulo, deseaba oir la palabra de Dios.
44N||13||8||42260	Mas les resistia Elimas el encantador, (que así se interpreta su nombre), procurando apartar de la fé al procónsul.
44N||13||9||42270	Entónces Saulo, que tambien [es] Pablo, lleno del Espíritu Santo, poniendo en él los ojos, 
44N||13||10||42280	Dijo: Oh, lleno de todo engaño y de toda maldad, hijo del diablo, enemigo de toda justicia, ¿no cesarás de trastornar los caminos rectos del Señor? 
44N||13||11||42290	Ahora, pues, hé aquí, la mano del Señor [es] contra tí, y serás ciego, que no veas el sol por tiempo. Y luego cayeron en él oscuridad y tinieblas; y andando alrededor, buscaba quien le condujese por la mano. 
44N||13||12||42300	Entónces el procónsul, viendo lo que habia sido hecho, creyó, maravillado de la doctrina del Señor. 
44N||13||13||42310	Y partidos de Pafo, Pablo y sus compañeros arribaron á Perge de Pamphylia: entónces Juan, apartándose de ellos, se volvió á Jerusalem. 
44N||13||14||42320	Y ellos pasando de Perge, llegaron á Antioquia de Pisidia, y entrando en la sinagoga un dia de Sábado, sentáronse. 
44N||13||15||42330	Y despues de la leccion de la ley y de los profetas, los príncipes de la sinagoga enviaron á ellos diciendo: Varones hermanos, si teneis alguna palabra de exhortacion para el pueblo, hablad. 
44N||13||16||42340	Entónces Pablo, levantándose, hecha señal de silencio con la mano, dice: Varones Israelitas, y los que temeis á Dios, oid. 
44N||13||17||42350	El Dios del pueblo de Israel escogió á nuestros padres, y ensalzó el pueblo, siendo ellos extranjeros en la tierra de Egipto, y con brazo levantado los sacó de ella. 
44N||13||18||42360	Y por tiempo como de cuarenta años soportó sus costumbres en el desierto: 
44N||13||19||42370	Y destruyendo siete naciones en la tierra de Chanaan, les repartió por suerte la tierra de ellas. 
44N||13||20||42380	Y despues, como por cuatrocientos y cincuenta años, dió los jueces hasta el profeta Samuel. 
44N||13||21||42390	Y entónces demandaron rey; y les dió Dios á Saul, hijo de Cis, varon de la tribu de Benjamin, por cuarenta años. 
44N||13||22||42400	Y quitado aquel, levantóles por rey á David, al que dió tambien testimonio, diciendo: He hallado á David, [hijo] de Jessé, varon conforme á mi corazon, el cual hará todo lo que yo quiero. 
44N||13||23||42410	De la simiente de este, Dios, conforme á la promesa, levantó á Jesus por Salvador á Israel; 
44N||13||24||42420	Predicando Juan delante de la faz de su venida el bautismo de arrepentimiento á todo el pueblo de Israel. 
44N||13||25||42430	Mas como Juan cumpliese su carrera, dijo: ¿Quién pensais que soy? No soy yo: mas hé aquí viene tras mí [aquel] cuyo calzado de los piés no soy digno de desatar. 
44N||13||26||42440	Varones hermanos, hijos del linaje de Abraham, y los que entre vosotros temen á Dios, á vosotros es enviada la palabra de esta salud. 
44N||13||27||42450	Porque los que habitaban en Jerusalem, y sus príncipes, no conociendo á este, y las voces de los profetas que se leen todos los Sábados, condenándo[le las] cumplieron. 
44N||13||28||42460	Y sin hallar [en él] causa de muerte, pidieron á Pilato que le matasen. 
44N||13||29||42470	Y habiendo cumplido todas las cosas que de él estaban escritas, quitándo[le] del madero, [le] pusieron en el sepulcro. 
44N||13||30||42480	Mas Dios le levantó de los muertos: 
44N||13||31||42490	Y él fué visto por muchos dias de los que habian subido juntamente con él de Galiléa á Jerusalem, los cuales son sus testigos al pueblo. 
44N||13||32||42500	Y nosotros tambien os anunciamos el Evangelio de aquella promesa que fué hecha á los padres, la cual Dios ha cumplido á los hijos de ellos, á nosotros, resucitando á Jesus; 
44N||13||33||42510	Como tambien en el salmo segundo esta escrito: Mi Hijo eres tú, yo te engendré hoy. 
44N||13||34||42520	Y que le levantó de los muertos para nunca más volver á corrupcion, así [lo] dijo: Os daré las misericordias fieles de David. 
44N||13||35||42530	Por eso dice tambien en otro [lugar:] No permitirás que tu Santo vea corrupcion. 
44N||13||36||42540	Porque á la verdad David, habiendo servido en su edad á la voluntad de Dios, durmió, y fué juntado con sus padres, y vió corrupcion. 
44N||13||37||42550	Mas aquel que Dios levantó, no vió corrupcion. 
44N||13||38||42560	Séaos pues notorio, varones hermanos, que por este os es anunciada remision de pecados: 
44N||13||39||42570	Y de todo lo que por la ley de Moisés no pudisteis ser justificados, en este es justificado todo aquel que creyere. 
44N||13||40||42580	Mirad pues que no venga sobre vosotros lo que ésta dicho en los profetas: 
44N||13||41||42590	Mirad, oh menospreciadores, y entontecéos, y desvanecéos: porque yo obro una obra en vuestros dias, obra que no creeréis, si alguien os la contare. 
44N||13||42||42600	Y salidos de la sinagoga de los Judíos, los Gentiles les rogaron que el Sábado siguiente les hablasen estas palabras. 
44N||13||43||42610	Y despedida la congregacion, muchos de los Judíos y de los religiosos prosélitos siguieron á Pablo y á Bernabé: los cuales hablándoles, les persuadian que permaneciesen en la gracia de Dios. 
44N||13||44||42620	Y el Sábado siguiente se juntó casi toda la ciudad á oir la palabra de Dios. 
44N||13||45||42630	Mas los Judíos, visto el gentío, llenáronse de zelo, y se oponian á lo que Pablo decia, contradiciendo y blasfemando. 
44N||13||46||42640	Entónces Pablo y Bernabé, usando de libertad, dijeron: A vosotros á la verdad era menester que se os hablase la palabra de Dios; mas pues que la desechais, y os juzgais indignos de la vida eterna, hé aquí nos volvemos á los Gentiles. 
44N||13||47||42650	Porque así nos ha mandado el Señor: Te he puesto para luz de los Gentiles, para que seas salud hasta lo postrero de la tierra. 
44N||13||48||42660	Y los Gentiles oyendo esto, fueron gozosos, y glorificaban la palabra del Señor; y creyeron todos los que estaban ordenados para vida eterna. 
44N||13||49||42670	Y la palabra del Señor era sembrada por toda aquella provincia. 
44N||13||50||42680	Mas los Judíos concitaron mujeres pias y honestas, y á los principales de la ciudad, y levantaron persecucion contra Pablo y Bernabé, y los echaron de sus términos. 
44N||13||51||42690	Ellos entónces sacudiendo en ellos el polvo de sus piés, se vinieron á Iconio. 
44N||13||52||42700	Y los discípulos estaban llenos de gozo, y de Espíritu Santo.
44N||14||1||42710	Y ACONTECIÓ en Iconio, que entrados juntamente en la sinagoga de los Judíos, hablaron de tal manera que creyó una grande multitud de Judíos, y asimismo de Griegos.
44N||14||2||42720	Mas los Judíos que fueron incrédulos, incitaron y corrompieron los ánimos de los Gentiles contra los hermanos.
44N||14||3||42730	Con todo eso se detuvieron [allí] mucho tiempo confiados en el Señor, el cual daba testimonio á la palabra de su gracia, dando que señales y milagros fuesen hechos por las manos de ellos.
44N||14||4||42740	Mas el vulgo de la ciudad estaba dividido; y unos eran con los Judíos, y otros con los apóstoles.
44N||14||5||42750	Y haciendo ímpetu los Judíos y los Gentiles, juntamente con sus príncipes para afrentar[los] y apedrearlos,
44N||14||6||42760	Habiéndo[lo] entendido, huyéronse á Listra y Derbe, ciudades de Licaonia, y por toda la tierra alrededor.
44N||14||7||42770	Y allí predicaban el Evangelio.
44N||14||8||42780	Y un hombre de Listra, impotente de los piés, estaba sentado cojo desde el vientre de su madre, que jamás habia andado.
44N||14||9||42790	Este oyó hablar á Pablo, el cual como puso los ojos en él, y vió que tenia fé para ser sano, 
44N||14||10||42800	Dijo á gran voz: Levántate derecho sobre tus piés. Y [él] saltó, y anduvo. 
44N||14||11||42810	Entónces las gentes, visto lo que Pablo habia hecho, alzaron la voz, diciendo en lengua Licaónica: Dioses semejantes á hombres han descendido á nosotros. 
44N||14||12||42820	Y á Bernabé llamaban Júpiter; y á Pablo, Mercurio, porque era el que llevaba la palabra. 
44N||14||13||42830	Y el sacerdote de Júpiter que estaba delante de la ciudad de ellos, trayendo toros y guirnaldas delante de las puertas, queria con el pueblo sacrificar. 
44N||14||14||42840	[Lo cual] como oyeron los apóstoles Bernabé y Pablo, rotas sus ropas, se lanzaron al gentío, dando voces, 
44N||14||15||42850	Y diciendo; Varones, ¿por qué haceis esto? Nosotros tambien somos hombres semejantes á vosotros, que os anunciamos que de estas vanidades os convirtais al Dios vivo, que hizo el cielo, y la tierra, y la mar, y todo lo que está en ellos: 
44N||14||16||42860	El cual en las edades pasadas ha dejado á todas las gentes andar en sus caminos; 
44N||14||17||42870	Si bien no se deja á sí mismo sin testimonio, haciendo bien, dándoos lluvias del cielo, y tiempos fructíferos, y hinchiendo de mantenimiento y de alegria nuestros corazones. 
44N||14||18||42880	Y diciendo estas cosas, apénas apaciguaron el pueblo para que no les ofreciesen sacrificio. 
44N||14||19||42890	Entónces sobrevinieron unos Judíos de Antioquia y de Iconio, que persuadieron á la multitud, y habiendo apedreado á Pablo, [le] sacaron fuera de la ciudad, pensando que [ya] estaba muerto. 
44N||14||20||42900	Mas rodeándole los discípulos, se levantó, y entró en la ciudad, y un dia despues partió con Bernabé á Derbe. 
44N||14||21||42910	Y como hubieron anunciado el Evangelio á aquella ciudad, y enseñado á muchos, volvieron á Listra y á Iconio, y á Antioquia. 
44N||14||22||42920	Confirmando los ánimos de los discípulos, exhortándoles á que permaneciesen en la fé, y [enseñándoles] que es menester que por muchas tribulaciones entremos en el reino de Dios. 
44N||14||23||42930	Y habiéndoles constituido ancianos en cada una de las iglesias, y habiendo orado con ayunos, les encomendaron al Señor en el cual habian creido. 
44N||14||24||42940	Y pasando por Pisidia vinieron á Pamphylia. 
44N||14||25||42950	Y habiendo predicado la palabra en Perge, descendieron á Atalia. 
44N||14||26||42960	Y de allí navegaron á Antioquia, donde habian sido encomendados á la gracia de Dios para la obra que habian acabado. 
44N||14||27||42970	Y habiendo llegado, y reunido la iglesia, relataron cuán grandes cosas habia Dios hecho con ellos, y cómo habia abierto á los Gentiles la puerta de la fé. 
44N||14||28||42980	Y se quedaron allí mucho tiempo con los discípulos.
44N||15||1||42990	ENTONCES algunos que venian de Judéa enseñaban á los hermanos: Que si no os circuncidais, conforme al rito de Moisés, no podeis ser salvos.
44N||15||2||43000	Así que suscitada una disension y contienda no pequeña á Pablo y á Bernabé contra ellos, determinaron que subiesen Pablo y Bernabé á Jerusalem, y algunos otros de ellos, á los apóstoles y á los ancianos sobre esta cuestion.
44N||15||3||43010	Ellos, pues habiendo sido acompañados de la iglesia [al salir,] pasaron por la Fenicia y Samaria, contando la conversion de los Gentiles, y daban gran gozo á todos los hermanos.
44N||15||4||43020	Y llegados á Jerusalem, fueron recibidos de la iglesia, y de los apóstoles, y de los ancianos: y refirieron todas las cosas que Dios habla hecho con ellos.
44N||15||5||43030	Mas algunos de la secta de los Fariséos, que habian creido, se levantaron diciendo: Que es menester circuncidarlos, y mandar[les] que guarden la ley de Moisés.
44N||15||6||43040	Y se juntaron los apóstoles y los  ancianos para conocer de este negocio.
44N||15||7||43050	Y habiendo habido grande contienda, levantándose Pedro, les dijo: Varones hermanos, vosotros sabeis como ya hace algun tiempo que Dios escogió que los Gentiles oyesen por mi boca la palabra del Evangelio, y creyesen.
44N||15||8||43060	Y Dios, que conoce los corazones les dió testimonio, dándoles el Espíritu Santo tambien como á nosotros:
44N||15||9||43070	Y ninguna diferencia hizo entre nosotros y ellos, purificando con la fé sus corazones. 
44N||15||10||43080	Ahora pues, ¿por qué tentais á Dios poniendo yugo sobre la cerviz de los discípulos, que ni nuestros padres ni nosotros hemos podido llevar? 
44N||15||11||43090	Antes por la gracia del Señor Jesus creemos que serémos salvos, como tambien ellos. 
44N||15||12||43100	Entónces toda la multitud calló, y oyeron á Bernabé y á Pablo que contaban cuán grandes maravillas y señales Dios habia hecho por ellos entre los Gentiles. 
44N||15||13||43110	Y despues que hubieron callado, Jacobo respondió diciendo: Varones hermanos, oidme. 
44N||15||14||43120	Simon ha contado cómo Dios primero visitó á los Gentiles, para tomar de ellos pueblo para su nombre. 
44N||15||15||43130	Y con esto concuerdan las palabras de los profetas, como está escrito: 
44N||15||16||43140	Despues de esto volveré, y restauraré la habitacion de David que estaba caida, y repararé sus ruinas, y la volveré á levantar; 
44N||15||17||43150	Para que el resto de los hombres busque al Señor, y todos los Gentiles sobre los cuales es llamado mi nombre, dice el Señor, que hace estas cosas. 
44N||15||18||43160	Conocidas son á Dios desde el siglo todas sus obras. 
44N||15||19||43170	Por lo cual yo juzgo, que los que de los Gentiles se convierten á Dios, no han de ser inquietados; 
44N||15||20||43180	Sino escribirles que se aparten de las contaminaciones de los ídolos, y de fornicacion, y de ahogado, y de sangre. 
44N||15||21||43190	Porque Moisés desde los tiempos antiguos tiene en cada ciudad quien le predique en las sinagogas, donde es leido cada Sábado. 
44N||15||22||43200	Entónces pareció bien a los apóstoles, y á los ancianos con toda la iglesia, elegir varones de ellos, y enviar[los] á Antioquia con Pablo, y Bernabé; á Júdas, que tenia por sobrenombre Barsabas, y á Silas, varones principales entre los hermanos; 
44N||15||23||43210	Y escribir por mano de ellos [así:] los apóstoles y los ancianos y los hermanos, á los hermanos de los Gentiles, que están en Antioquía, y en Siria, y en Cilicia, salud: 
44N||15||24||43220	Por cuanto hemos oido que algunos, que han salido de nosotros, os han inquietado con palabras, trastornando vuestras almas, mandando circuncidaros y guardar la ley, á los cuales no mandamos; 
44N||15||25||43230	Nos ha parecido, congregados en uno, elegir varones, y enviarles á vosotros con nuestros amados Bernabé y Pablo, 
44N||15||26||43240	Hombres que han expuesto sus vidas por el nombre de nuestro Señor Jesu-Cristo. 
44N||15||27||43250	Así que, enviamos á Júdas, y á Silas, los cuales tambien por palabra [os] harán saber lo mismo. 
44N||15||28||43260	Que ha parecido bien al Espíritu Santo, y á nosotros, no imponeros ninguna carga mas que estas cosas necesarias: 
44N||15||29||43270	Que os abstengais de cosas sacrificadas á ídolos, y de sangre, y de ahogado, y de fornicacion; de las cuales cosas si os guardareis, bien haréis. Pasadlo bien. 
44N||15||30||43280	Ellos entónces enviados, descendieron á Antioquia, y juntando la multitud, dieron la carta. 
44N||15||31||43290	La cual, como leyeron, fueron gozosos de la consolacion. 
